2016-10-14 16:48:04.654 ; TestPlan      ; Debug       ; TestStep Delay (1) PrePlanRunCompleted. [0 ms]
2016-10-14 16:48:04.654 ; TestPlan      ; Debug       ; TestStep Set Verdict PrePlanRunCompleted. [0 ms]
2016-10-14 16:48:04.660 ; TestPlan      ; Information ; "Delay" started.
2016-10-14 16:48:05.522 ; Session       ; Debug       ; Windows Version: Microsoft Windows NT 6.2.9200.0
2016-10-14 16:48:05.522 ; Session       ; Debug       ; .Net Version: CDF, v2.0.50727, v3.0, v3.5, v4, v4.0
2016-10-14 16:48:05.522 ; Session       ; Debug       ; Keysight I/O Libs Version:81.1.20011.4
2016-10-14 16:48:05.522 ; Session       ; Debug       ; Processor Name: Intel(R) Core(TM) i7-4800MQ CPU @ 2.70GHz
2016-10-14 16:48:05.665 ; TestPlan      ; Information ; "Delay" completed. [1005 ms]
2016-10-14 16:48:05.665 ; TestPlan      ; Information ; "Delay (1)" started.
2016-10-14 16:48:06.671 ; TestPlan      ; Information ; "Delay (1)" completed. [1005 ms]
2016-10-14 16:48:06.671 ; TestPlan      ; Information ; "Set Verdict" started.
2016-10-14 16:48:06.673 ; TestPlan      ; Information ; "Set Verdict" completed with verdict 'Pass'. [2 ms]
2016-10-14 16:48:06.673 ; TestPlan      ; Information ; TestPlan Run finished. [2019 ms]
